Accession,ProteinName,GeneName,,
Q62921,RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (Heme-oxidized IRP2 ubiquitin ligase 1 homolog) (HOIL-1) (Protein kinase C-binding protein beta-15) (RBCC protein interacting with PKC) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3),Rbck1,,
P0DMW1,Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1),Hspa1b,,
Q9QZ58,Heat shock protein beta-3 (HspB3),Hspb3,,
Q66HA8,Heat shock protein 105 kDa (Heat shock 110 kDa protein),Hsph1,,
Q4V8B7,Inactive hydroxysteroid dehydrogenase-like protein 1,Hsdl1,,
P42930,Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27),Hspb1,,
O35878,Heat shock protein beta-2 (HspB2),Hspb2,,
P97541,Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20),Hspb6,,
Q9QUK5,Heat shock protein beta-7 (HspB7) (Cardiovascular heat shock protein) (cvHsp) (Fragment),Hspb7,,
Q6AYB4,Heat shock 70 kDa protein 14,Hspa14,,
Q64709,Hepatic leukemia factor,Hlf,,
P17425,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Hmgcs1,,
P18437,Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2),Hmgn2,,
P61980,Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (dC stretch-binding protein) (CSBP),Hnrnpk,,
Q78ZR5,Homeodomain-only protein (Global ischemia-induced gene 15B protein) (GIIg15b) (Odd homeobox protein 1),Hopx,,
Q4QQW3,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (HOT) (EC 1.1.99.24) (Alcohol dehydrogenase iron-containing protein 1) (ADHFe1)",Adhfe1,,
P31390,Histamine H1 receptor (H1R) (HH1R),Hrh1,,
Q4V8F9,Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-),Hsdl2,,
O08656,Homeobox protein Hox-A1,Hoxa1,,
Q5BK30,Dynein assembly factor with WDR repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69),Daw1,,
Q5NSW5,Homeobox protein DBX1 (Developing brain homeobox protein 1),Dbx1,,
Q63100,"Cytoplasmic dynein 1 intermediate chain 1 (Cytoplasmic dynein intermediate chain 1) (Dynein intermediate chain 1, cytosolic) (DH IC-1)",Dync1i1,,
Q9QXU8,"Cytoplasmic dynein 1 light intermediate chain 1 (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)",Dync1li1,,
Q9QUR2,Dynactin subunit 4 (Dynactin subunit p62),Dctn4,,
Q5XIX3,Protein artemis (EC 3.1.-.-) (DNA cross-link repair 1C protein) (SNM1-like protein),Dclre1c,,
O08557,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",Ddah1,,
Q9Z1F1,Neutrophil antibiotic peptide NP-3B (RatNP-3b) (Neutrophil defensin 3),,,
O88450,Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin),Deaf1,,
P60924,DAP3-binding cell death enhancer 1 (Death ligand signal enhancer),Dele1,,
Q01460,Di-N-acetylchitobiase (EC 3.2.1.-),Ctbs,,
P10860,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3) (Memory-related gene 2 protein) (MRG-2)",Glud1,,
Q8VD48,Dehydrogenase/reductase SDR family member 9 (EC 1.1.1.105) (EC 1.1.1.209) (EC 1.1.1.53) (3-alpha hydroxysteroid dehydrogenase) (3-alpha-HSD) (Short-chain dehydrogenase/reductase retSDR8),Dhrs9,,
P60486,DAZ-associated protein 2 (Deleted in azoospermia-associated protein 2),Dazap2,,
Q4V8I4,Differentially expressed in FDCP 8 homolog (DEF-8),Def8,,
Q62714,Neutrophil antibiotic peptide NP-4 (RatNP-4) (Neutrophil defensin 4),Np4,,
Q62715,Neutrophil antibiotic peptide NP-2 (RatNP-2) (Neutrophil defensin 2),Defa,,
Q9ESW0,DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1),Ddb1,,
Q5MPA9,Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2),Dclk2,,
P82106,Defensin 5 (Enteric defensin) (RD-5),,,
Q564G3,Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase),Degs2,,
Q5I0C5,"Methionyl-tRNA formyltransferase, mitochondrial (MtFMT) (EC 2.1.2.9)",Mtfmt,,
Q5U3Z6,Deuterosome assembly protein 1 (Coiled-coil domain-containing protein 67),Deup1,,
P19313,Cystatin-S (Cystatin-1) (Protein LM),Cst4,,
Q6P730,Disabled homolog 2-interacting protein (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DIP1/2) (DOC-2/DAB2 interactive protein),Dab2ip,,
B2RYN2,F-box only protein 31,Fbxo31,,
D4ABP9,F-box only protein 3,Fbxo3,,
O88764,Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (ZIP-kinase),Dapk3,,
Q62871,"Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)",Dync1i2,,
Q5PPL2,DCN1-like protein 5 (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5),Dcun1d5,,
D4A2Z8,ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH-box protein 36) (G4-resolvase-1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element protein),Dhx36,,
Q6TUG0,DnaJ homolog subfamily B member 11 (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p) (Liver regeneration-related protein LRRGT00084),Dnajb11,,
P97677,Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1),Dll1,,
Q5PR00,DnaJ homolog subfamily C member 22,Dnajc22,,
P97836,Disks large-associated protein 1 (DAP-1) (Guanylate kinase-associated protein) (rGKAP) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1) (SAPAP1),Dlgap1,,
P97837,Disks large-associated protein 2 (DAP-2) (PSD-95/SAP90-binding protein 2) (SAP90/PSD-95-associated protein 2) (SAPAP2),Dlgap2,,
Q64204,Homeobox protein DLX-2 (DLX-5) (Fragment),Dlx2,,
P97839,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4),Dlgap4,,
Q9ESV6,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)",Gapdhs,,
A0A096MJZ0,"Dynein light chain 1, axonemal (LC1)",Dnal1,,
P09057,Ornithine decarboxylase (ODC) (EC 4.1.1.17),Odc1,,
Q64060,Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog) (rVLG),Ddx4,,
Q5BMD4,Protein DEPP,Depp,,
Q32ZH4,"Beta-defensin 18 (BD-18) (Defensin, beta 18)",Defb18,,
P27867,Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase),Sord,,
P51657,Estradiol 17-beta-dehydrogenase 1 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 1) (17-beta-HSD 1),Hsd17b1,,
P17708,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain],Amd1,,
Q6AYH5,Dynactin subunit 2,Dctn2,,
P48769,Deoxycytidine kinase (dCK) (EC 2.7.1.74),Dck,,
O88514,"Beta-defensin 4 (BD-4) (BD-2) (Defensin, beta 4) (RBD-2) (RBD-4)",Defb4,,
P50617,Dendrin,Ddn,,
Q4QR86,DEP domain-containing protein 7,Depdc7,,
Q32ZI1,"Beta-defensin 10 (BD-10) (Defensin, beta 10)",Defb10,,
Q32ZH6,"Beta-defensin 15 (BD-15) (Defensin, beta 15)",Defb15,,
Q32ZH5,"Beta-defensin 17 (BD-17) (Defensin, beta 17)",Defb17,,
Q4KLY6,5' exonuclease Apollo (EC 3.1.-.-) (DNA cross-link repair 1B protein) (SNM1 homolog B),Dclre1b,,
P32362,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37) (Fragment),Urod,,
Q32ZI2,"Beta-defensin 9 (BD-9) (Defensin, beta 9)",Defb9,,
Q62713,Neutrophil antibiotic peptide NP-3A (RatNP-3a) (Neutrophil defensin 3),,,
Q66HG7,Probable ATP-dependent RNA helicase DDX59 (EC 3.6.4.13) (DEAD box protein 59),Ddx59,,
Q5XIT6,Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Protein FAM152A),Desi2,,
Q32ZI0,"Beta-defensin 11 (BD-11) (Defensin, beta 11)",Defb11,,
Q32ZH9,"Beta-defensin 12 (BD-12) (Defensin, beta 12)",Defb12,,
Q32ZH2,"Beta-defensin 20 (BD-20) (Defensin, beta 20)",Defb20,,
Q32ZG1,"Beta-defensin 33 (BD-33) (Defensin, beta 33)",Defb33,,
Q9Z2Z8,7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Sterol Delta(7)-reductase),Dhcr7,,
D3ZSC8,DnaJ homolog subfamily C member 17,Dnajc17,,
P14841,Cystatin-C (Cystatin-3),Cst3,,
Q498R7,CXXC motif containing zinc binding protein (UPF0587 protein C1orf123 homolog),Czib,,
P56702,Diazepam-binding inhibitor-like 5 (Endozepine-like peptide) (ELP),Dbil5,,
Q91VC0,dCTP pyrophosphatase 1 (EC 3.6.1.12) (Deoxycytidine-triphosphatase 1) (dCTPase 1) (RS21-C6),Dctpp1,,
P16453,Histidine decarboxylase (HDC) (EC 4.1.1.22),Hdc,,
O89117,"Beta-defensin 1 (BD-1) (rBD-1) (Defensin, beta 1)",Defb1,,
Q920P0,L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),Dcxr,,
Q63474,Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (Protein-tyrosine kinase 3) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a),Ddr1,,
Q6AXS3,Protein DEK,Dek,,
Q4KM30,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2),Desi1,,
Q32ZH8,"Beta-defensin 13 (BD-13) (Defensin, beta 13)",Defb13,,
Q32ZG7,"Beta-defensin 25 (BD-25) (Defensin, beta 25)",Defb25,,
Q32ZG3,"Beta-defensin 29 (BD-29) (Defensin, beta 29)",Defb29,,
Q32ZG2,"Beta-defensin 30 (BD-30) (Defensin, beta 30)",Defb30,,
Q6AY53,Deoxyhypusine synthase (DHS) (EC 2.5.1.46),Dhps,,
Q810H6,Disrupted in schizophrenia 1 homolog,Disc1,,
Q4V888,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)",Pip4p2,,
Q5PPM8,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)",Pip4p1,,
Q812D3,Peptidyl-prolyl cis-trans isomerase-like 3 (PPIase) (EC 5.2.1.8) (CYP10L) (Cyclophilin-like protein PPIL3) (Rotamase PPIL3),Ppil3,,
P29117,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Rotamase F)",Ppif,,
Q6DGG0,Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Rotamase D),Ppid,,
Q9JIR4,Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1),Rims1,,
P81278,Prolactin-releasing peptide (PrRP) (Prolactin-releasing hormone) [Cleaved into: Prolactin-releasing peptide PrRP31; Prolactin-releasing peptide PrRP20],Prlh,,
Q6IE62,Inactive serine protease 45 (Inactive testis serine protease 5),Prss45,,
A1L1K1,Proline-rich protein 5-like (Protein observed with Rictor-2) (Protor-2),Prr5l,,
Q6IE63,Serine protease 46 (EC 3.4.21.-) (Testis-specific serine protease-6),Prss46,,
P48004,Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1),Psma7,,
P17220,Proteasome subunit alpha type-2 (EC 3.4.25.1) (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3),Psma2,,
P60901,Proteasome subunit alpha type-6 (EC 3.4.25.1) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain),Psma6,,
P18420,Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain),Psma1,,
Q9ESQ7,PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1),Psd,,
P56700,Regulator of G-protein signaling 16 (RGS16) (Retinal-specific RGS) (RGS-r) (Retinally abundant regulator of G-protein signaling),Rgs16,,
P49797,Regulator of G-protein signaling 3 (RGS3) (SRB-RGS),Rgs3,,
Q6MFY6,E3 ubiquitin-protein ligase PPP1R11 (EC 2.3.2.27) (Protein phosphatase 1 regulatory subunit 11),Ppp1r11,,
P62138,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16),Ppp1ca,,
P63329,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform),Ppp3ca,,
P62142,Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53),Ppp1cb,,
B2RYF1,Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68),Ppp1r37,,
P0C7L8,Protein phosphatase 1 regulatory subunit 3E,Ppp1r3e,,
Q8CIX1,Regulating synaptic membrane exocytosis protein 4 (RIM4 gamma) (Rab3-interacting molecule 4) (RIM 4),Rims4,,
P35815,Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta),Ppm1b,,
Q4FZT2,Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.89),Ppme1,,
P31394,Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide],Proc,,
Q9EPC6,Profilin-2 (Profilin II),Pfn2,,
M0RCP6,Profilin-3 (Profilin III),Pfn3,,
Q5IRJ7,Profilin-4 (Profilin IV),Pfn4,,
Q8R413,Prokineticin-2 (PK2),Prok2,,
Q9JKB8,Pre-mRNA-splicing factor 18 (PRP18 homolog) (Potassium channel regulatory factor),Prpf18,,
Q9JMJ4,Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Neuronal differentiation-related gene protein) (PRP19/PSO4 homolog) (RING-type E3 ubiquitin transferase PRP19),Prpf19,,
Q5RKH1,Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 pre-mRNA-processing factor 4 homolog),Prpf4b,,
P17438,Peripherin-2 (Retinal degeneration slow protein),Prph2,,
P10165,Proline-rich proteoglycan 2 (Acidic proline-rich protein PRP18),Prpg2,,
P23358,60S ribosomal protein L12,Rpl12,,
P35427,60S ribosomal protein L13a,Rpl13a,,
Q6AY61,Serine protease 23 (EC 3.4.21.-),Prss23,,
Q5BJR4,Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1),Prune2,,
P0C089,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (EC 3.1.3.27) (Protein-tyrosine phosphatase mitochondrial 1) (EC 3.1.3.16) (EC 3.1.3.48),Ptpmt1,,
Q63475,Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (PTP NE-6) (PTPNE6) (Phogrin) [Cleaved into: IA-2beta60],Ptprn2,,
Q03348,Receptor-type tyrosine-protein phosphatase alpha (Protein-tyrosine phosphatase alpha) (R-PTP-alpha) (EC 3.1.3.48),Ptpra,,
P47198,60S ribosomal protein L22,Rpl22,,
P62752,60S ribosomal protein L23a,Rpl23a,,
P62832,60S ribosomal protein L23,Rpl23,,
P83732,60S ribosomal protein L24 (L30),Rpl24,,
O70196,Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme) (rPop),Prep,,
P53809,Phosphatidylcholine transfer protein (PC-TP) (START domain-containing protein 2) (StARD2) (StAR-related lipid transfer protein 2),Pctp,,
P15693,Intestinal-type alkaline phosphatase 1 (IAP-1) (Intestinal alkaline phosphatase 1) (EC 3.1.3.1) (Intestinal alkaline phosphatase I) (IAP-I),Alpi,,
O55035,Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (Cyclophilin G) (Matrin cyclophilin) (Matrin-cyp) (Rotamase G),Ppig,,
P10111,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (p1B15) (p31) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",Ppia,,
Q5U2R5,Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG),Ppp1r3c,,
Q66HR9,Protein phosphatase 1 regulatory subunit 32 (Protein IIIG9),Ppp1r32,,
P53042,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT),Ppp5c,,
Q6AXY7,Pre-mRNA-splicing factor 38B,Prpf38b,,
Q9QUL0,Prolactin-3C1 (Decidualin) (Placental prolactin-like protein J) (PLP-J) (PRL-like protein J) (Prolactin-like protein I) (PLP-I) (PRL-like protein I),Prl3c1,,
Q63425,Periaxin,Prx,,
Q920I0,Prolactin-8A9 (Placental prolactin-like protein C2) (PLP-C2) (PRL-like protein C2) (Prolactin-like protein C-beta) (PLP C-beta),Prl8a9,,
Q9ES40,PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (Prenylated Rab acceptor protein 2) (Protein JWa),Arl6ip5,,
P35704,Peroxiredoxin-2 (EC 1.11.1.15) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1),Prdx2,,
Q9WTV0,Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12),Preb,,
Q5U1Z8,"Protein preY, mitochondrial",Pyurf,,
Q63189,Bone marrow proteoglycan (BMPG) (Proteoglycan 2) [Cleaved into: Eosinophil granule major basic protein (EMBP) (MBP)],Prg2,,
Q811R2,Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta),Ppargc1b,,
Q63449,Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),Pgr,,
Q920A6,Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1),Scpep1,,
Q5BJQ5,GTP-binding protein Rit2,Rit2,,
Q2KJ10,RBPJ-interacting and tubulin-associated protein 1 (RBPJ-interacting and tubulin-associated protein),Rita1,,
Q71QF9,Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1),Prickle1,,
Q9JK66,E3 ubiquitin-protein ligase parkin (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase),Prkn,,
P11248,Protamine-2 (Sperm histone P2) (Sperm protamine P2),Prm2,,
Q8VHZ4,Paraneoplastic antigen Ma1 homolog,Pnma1,,
P10937,Phenylethanolamine N-methyltransferase (PNMTase) (EC 2.1.1.28) (Noradrenaline N-methyltransferase),Pnmt,,
P20646,Prostatic acid phosphatase (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Fluoride-resistant acid phosphatase) (FRAP) (Thiamine monophosphatase) (TMPase),Acpp,,
P51740,Intestinal-type alkaline phosphatase 2 (IAP-2) (Intestinal alkaline phosphatase 2) (EC 3.1.3.1) (Intestinal alkaline phosphatase II) (IAP-II),,,
F1LNI5,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase magnesium-dependent 1 gamma),Ppm1g,,
Q68FW6,Protein phosphatase 1 regulatory subunit 36,Ppp1r36,,
Q641Y6,Protein phosphatase 1J (EC 3.1.3.16) (Protein phosphatase 2C isoform zeta) (PP2C-zeta),Ppm1j,,
P61016,Cardiac phospholamban (PLB),Pln,,
Q9JKL9,Prolactin-2B1 (Placental prolactin-like protein K) (PLP-K) (PRL-like protein K),Prl2b1,,
Q9JII4,Prolactin-5A1 (Placental prolactin-like protein L) (PLP-L) (PRL-like protein L),Prl5a1,,
Q9R006,Prolactin-7A2 (Placental prolactin-like protein F) (PLP-F) (PRL-like protein F),Prl7a2,,
Q8CJ42,Prolactin-7B1 (Placental prolactin-like protein N) (PLP-N) (PRL-like protein N),Prl7b1,,
Q63755,PR domain zinc finger protein 2 (EC 2.1.1.43) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ),Prdm2,,
Q9R063,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Antioxidant enzyme B166) (AOEB166) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (Thioredoxin peroxidase PMP20)",Prdx5,,
P0C6Y7,Histone-lysine N-methyltransferase PRDM9 (EC 2.1.1.43) (PR domain zinc finger protein 9) (PR domain-containing protein 9),Prdm9,,
Q63716,Peroxiredoxin-1 (EC 1.11.1.15) (HBP23) (Heme-binding 23 kDa protein) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2),Prdx1,,
Q9EQP5,Prolargin (Proline-arginine-rich end leucine-rich repeat protein),Prelp,,
Q64256,Protamine-3 (Sperm protamine P3),Prm3,,
Q63651,Rhodopsin kinase (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1),Grk1,,
P62907,60S ribosomal protein L10a,Rpl10a,,
Q8R414,Prokineticin-1 (Endocrine-gland-derived vascular endothelial growth factor) (EG-VEGF),Prok1,,
Q8CJ52,Prominin-2 (PROM-2) (Prominin-like protein 2) (rPROML2) (Testosterone-regulated prominin-related protein),Prom2,,
B2GV50,DNA-binding protein RFX2 (Regulatory factor X 2),Rfx2,,
Q62923,Prepronociceptin [Cleaved into: Nocistatin; Nociceptin (ORL1 receptor agonist) (Orphanin FQ) (PPNOC); Orphanin FQ2],Pnoc,,
P85973,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),Pnp,,
Q8R4R9,Protein phosphatase 1 regulatory subunit 14C (Kinase-enhanced PP1 inhibitor) (PKC-potentiated PP1 inhibitory protein),Ppp1r14c,,
Q8K3F4,Protein phosphatase 1 regulatory subunit 14D (Gastrointestinal and brain-specific PP1-inhibitory protein 1) (GBPI-1),Ppp1r14d,,
Q6IN01,Protein phosphatase 1 regulatory subunit 3B (33 kDa glycogen-binding protein) (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL),Ppp1r3b,,
Q9JII3,Prolactin-2A1 (Placental prolactin-like protein M) (PLP-M) (PRL-like protein M),Prl2a1,,
Q6IN02,Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog) (Progression elevated gene 3 protein) (PEG-3),Ppp1r15a,,
